Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
25.0,4,2522.5130000000063,1,20.0,0,8,2.5225130000000062,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
130.0,4,1411.44800002384,1,20.0,0,8,1.41144800002384,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
65.0,24,3864.367999952316,0,20.0,0,8,3.864367999952316,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
50.0,52,1692.8029999523133,0,20.0,0,8,1.6928029999523133,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
50.0,24,4984.188000023831,1,20.0,0,8,4.98418800002383,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
30.0,24,1577.338000047661,0,20.0,0,8,1.577338000047661,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
30.0,4,1447.7079999761772,0,20.0,0,8,1.4477079999761773,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
130.0,1,2303.318000023836,1,20.0,0,8,2.3033180000238356,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
25.0,2,2030.6680000238705,1,20.0,0,8,2.0306680000238706,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
30.0,12,1491.9529999761726,0,20.0,0,8,1.4919529999761725,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
50.0,2,1268.2979999523377,1,20.0,0,8,1.2682979999523376,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
25.0,24,1311.0129999761702,0,20.0,0,8,1.3110129999761702,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
25.0,1,942.5629999522936,0,20.0,0,8,0.9425629999522935,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
80.0,2,1424.5780000238449,1,20.0,0,8,1.4245780000238448,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
50.0,1,2545.8429999523214,1,20.0,0,8,2.5458429999523213,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
30.0,1,2616.222999999998,1,20.0,0,8,2.616222999999998,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
65.0,4,1594.7829999999958,1,20.0,0,8,1.5947829999999958,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
30.0,2,1881.197999976168,1,20.0,0,8,1.8811979999761679,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
30.0,52,1309.3780000476982,0,20.0,0,8,1.3093780000476982,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
50.0,4,3584.3279999999795,1,20.0,0,8,3.5843279999999793,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
65.0,52,1259.6979999523028,1,20.0,0,8,1.2596979999523028,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
130.0,52,1310.5129999999772,1,20.0,0,8,1.3105129999999772,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
130.0,24,895.1630000000005,1,20.0,0,8,0.8951630000000005,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
65.0,12,874.98799995234,1,20.0,0,8,0.87498799995234,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
65.0,2,1262.5680000477005,1,20.0,0,8,1.2625680000477004,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
65.0,1,892.6830000476912,1,20.0,0,8,0.8926830000476912,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
130.0,2,2133.307999952289,1,20.0,0,8,2.133307999952289,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
80.0,52,1311.86299995234,1,20.0,0,8,1.3118629999523401,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
25.0,52,1218.4130000476723,0,20.0,0,8,1.2184130000476723,20.0,Undergraduate,60%,20%,20%,4.0,10.0,5.0
