Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds
30.0,1,2685.458000001483,0,20.0,0,3,2.685458000001483
50.0,52,1742.5259999985135,0,20.0,0,3,1.7425259999985134
25.0,4,1446.255999999994,0,20.0,0,3,1.446255999999994
50.0,24,1750.2079999999987,0,20.0,0,3,1.7502079999999987
80.0,4,1116.3780000007391,0,20.0,0,3,1.116378000000739
50.0,4,2218.749999998516,0,20.0,0,3,2.2187499999985163
130.0,1,1933.0659999985076,1,20.0,0,3,1.9330659999985076
65.0,12,1489.8930000014952,0,20.0,0,3,1.4898930000014952
130.0,52,1685.4130000000005,0,20.0,0,3,1.6854130000000005
50.0,12,1366.440999998507,0,20.0,0,3,1.366440999998507
65.0,24,1619.7859999999928,0,20.0,0,3,1.6197859999999928
80.0,1,1732.1780000014842,1,20.0,0,3,1.7321780000014841
30.0,24,1553.1079999985086,0,20.0,0,3,1.5531079999985087
65.0,1,2518.7640000014944,1,20.0,0,3,2.5187640000014944
130.0,4,2122.319999998508,0,20.0,0,3,2.122319999998508
25.0,12,1188.431999999244,0,20.0,0,3,1.188431999999244
25.0,24,910.8399999999964,0,20.0,0,3,0.9108399999999964
25.0,1,1584.5819999999949,0,20.0,0,3,1.5845819999999948
30.0,52,1355.6059999985157,0,20.0,0,3,1.3556059999985157
80.0,24,1072.6540000000095,0,20.0,0,3,1.0726540000000095
130.0,2,2381.224000000744,1,20.0,0,3,2.3812240000007443
130.0,12,1509.027000000002,0,20.0,0,3,1.5090270000000021
30.0,2,1806.0810000014897,0,20.0,0,3,1.8060810000014897
65.0,52,1626.1469999992405,0,20.0,0,3,1.6261469999992406
65.0,4,1612.122999998508,0,20.0,0,3,1.612122999998508
50.0,2,936.115000001504,0,20.0,0,3,0.9361150000015039
80.0,52,1225.812999999267,0,20.0,0,3,1.225812999999267
130.0,24,2066.788999998505,0,20.0,0,3,2.066788999998505
25.0,2,1391.8110000015004,0,20.0,0,3,1.3918110000015003
50.0,1,2566.7269999985,0,20.0,0,3,2.5667269999985
65.0,2,2445.4900000007474,0,20.0,0,3,2.4454900000007473
30.0,4,1202.5819999985106,0,20.0,0,3,1.2025819999985106
80.0,2,883.3239999992657,0,20.0,0,3,0.8833239999992657
80.0,12,830.4199999992561,0,20.0,0,3,0.8304199999992561
30.0,12,916.301000001491,0,20.0,0,3,0.9163010000014911
25.0,52,1469.4649999999965,0,20.0,0,3,1.4694649999999965
130.0,4,1164.0009999999893,0,20.0,0,3,1.1640009999999892
30.0,52,736.7270000000135,0,20.0,0,3,0.7367270000000135
25.0,24,983.1170000007552,0,20.0,0,3,0.9831170000007552
25.0,52,625.3169999984966,0,20.0,0,3,0.6253169999984967
30.0,12,1812.0689999985043,0,20.0,0,3,1.8120689999985042
130.0,1,788.4869999999937,0,20.0,0,3,0.7884869999999937
65.0,2,1627.879000000743,0,20.0,0,3,1.627879000000743
130.0,24,1069.2709999985236,0,20.0,0,3,1.0692709999985237
25.0,4,939.1410000000031,0,20.0,0,3,0.9391410000000031
30.0,4,928.9670000007318,0,20.0,0,3,0.9289670000007317
25.0,1,1013.065000000759,0,20.0,0,3,1.013065000000759
30.0,24,851.4329999985057,0,20.0,0,3,0.8514329999985057
25.0,12,853.9610000000102,0,20.0,0,3,0.8539610000000103
80.0,12,1152.2889999985057,0,20.0,0,3,1.1522889999985058
80.0,2,2251.9909999992524,1,20.0,0,3,2.2519909999992525
50.0,4,1502.0750000007392,0,20.0,0,3,1.5020750000007392
65.0,4,936.228999999992,0,20.0,0,3,0.936228999999992
50.0,2,858.7249999985215,0,20.0,0,3,0.8587249999985215
65.0,1,1417.952999999252,1,20.0,0,3,1.417952999999252
130.0,52,941.3370000007562,0,20.0,0,3,0.9413370000007563
30.0,2,1744.1350000000093,0,20.0,0,3,1.7441350000000093
80.0,1,1266.3360000007378,1,20.0,0,3,1.2663360000007378
50.0,1,2500.213999998523,1,20.0,0,3,2.500213999998523
30.0,1,2255.30799999999,0,20.0,0,3,2.25530799999999
80.0,52,1408.8880000014906,0,20.0,0,3,1.4088880000014905
50.0,12,1723.437999999267,0,20.0,0,3,1.723437999999267
50.0,52,1167.3340000007302,0,20.0,0,3,1.1673340000007302
65.0,52,1359.443999999261,0,20.0,0,3,1.359443999999261
65.0,24,1081.691999999981,0,20.0,0,3,1.081691999999981
25.0,2,1762.6959999984829,0,20.0,0,3,1.7626959999984828
50.0,24,2079.2939999992377,0,20.0,0,3,2.079293999999238
80.0,24,1116.371000001498,0,20.0,0,3,1.1163710000014981
130.0,2,1156.74299999926,1,20.0,0,3,1.15674299999926
130.0,12,1005.4830000000076,0,20.0,0,3,1.0054830000000075
65.0,12,1128.517000001506,0,20.0,0,3,1.128517000001506
80.0,4,1370.572000001499,0,20.0,0,3,1.370572000001499
