Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
80.0,4,1124.0280000000057,1,20.0,0,5,1.1240280000000058,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,52,1101.8650000000052,1,20.0,0,5,1.1018650000000052,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,12,1191.4049999999988,1,20.0,0,5,1.191404999999999,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,2,816.5510000000068,1,20.0,0,5,0.8165510000000068,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,12,1205.860999994038,1,20.0,0,5,1.205860999994038,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,2,966.0899999970134,1,20.0,0,5,0.9660899999970134,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,12,723.8649999970221,1,20.0,0,5,0.7238649999970221,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,52,851.609000005963,1,20.0,0,5,0.8516090000059631,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,2,761.8829999970185,1,20.0,0,5,0.7618829999970185,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,24,1080.9949999940436,1,20.0,0,5,1.0809949999940436,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,12,663.5329999940441,1,20.0,0,5,0.663532999994044,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,4,701.4420000029786,1,20.0,0,5,0.7014420000029786,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,4,669.8299999970186,1,20.0,0,5,0.6698299999970186,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,1,624.7909999940457,1,20.0,0,5,0.6247909999940457,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,52,603.6840000059601,1,20.0,0,5,0.6036840000059601,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,52,589.3409999970172,1,20.0,0,5,0.5893409999970172,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,1,442.4170000000013,1,20.0,0,5,0.4424170000000013,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,24,715.73700000596,1,20.0,0,5,0.71573700000596,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,4,623.8720000059548,1,20.0,0,5,0.6238720000059548,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,1,629.7300000029791,1,20.0,0,5,0.6297300000029791,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,24,718.1009999970265,1,20.0,0,5,0.7181009999970265,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,4,648.1500000059605,1,20.0,0,5,0.6481500000059605,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,12,547.4369999970222,1,20.0,0,5,0.5474369999970222,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,1,598.4939999940398,1,20.0,0,5,0.5984939999940397,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,2,962.5900000059628,1,20.0,0,5,0.9625900000059628,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,2,1005.5899999999964,1,20.0,0,5,1.0055899999999964,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,52,815.5169999999925,1,20.0,0,5,0.8155169999999925,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,1,567.9230000029784,1,20.0,0,5,0.5679230000029784,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,24,679.5509999970091,1,20.0,0,5,0.6795509999970091,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,24,670.1490000029735,1,20.0,0,5,0.6701490000029735,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,52,737.4860000059707,1,20.0,0,5,0.7374860000059708,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,1,992.2560000029916,1,20.0,0,5,0.9922560000029916,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,24,799.8400000029942,1,20.0,0,5,0.7998400000029942,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,12,717.3439999970142,1,20.0,0,5,0.7173439999970141,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,2,605.8480000029667,1,20.0,0,5,0.6058480000029667,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,4,1040.25199999701,1,20.0,0,5,1.04025199999701,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,2,874.2790000059467,1,20.0,0,5,0.8742790000059467,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,1,750.7239999940502,1,20.0,0,5,0.7507239999940503,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,4,571.3610000059707,1,20.0,0,5,0.5713610000059707,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,4,693.8509999970265,1,20.0,0,5,0.6938509999970265,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,52,1111.076999994053,1,20.0,0,5,1.111076999994053,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,12,1496.7150000029942,1,20.0,0,5,1.4967150000029943,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,1,711.3780000029947,1,20.0,0,5,0.7113780000029947,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,2,920.8920000059588,1,20.0,0,5,0.9208920000059588,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,2,768.2410000000091,1,20.0,0,5,0.7682410000000091,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,12,1110.4280000000144,1,20.0,0,5,1.1104280000000144,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,24,678.9719999940426,1,20.0,0,5,0.6789719999940426,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
130.0,1,1227.6279999940307,1,20.0,0,5,1.2276279999940307,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,4,1229.4280000000144,1,20.0,0,5,1.2294280000000144,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
25.0,24,1051.3189999999886,1,20.0,0,5,1.0513189999999886,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
50.0,2,1006.9439999940514,1,20.0,0,5,1.0069439999940515,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,52,784.8039999940374,1,20.0,0,5,0.7848039999940375,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,12,1010.51099999703,1,20.0,0,5,1.01051099999703,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
80.0,1,1175.1479999999865,1,20.0,0,5,1.1751479999999865,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
65.0,12,1082.5750000000116,1,20.0,0,5,1.0825750000000116,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
30.0,24,1426.1730000000098,1,20.0,0,5,1.4261730000000097,23.0,PhD,40%,40%,20%,2.0,3.0,2.0
