Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
30.0,2,2823.0650000238384,1,20.0,0,9,2.8230650000238384,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,4,1272.5879999284807,0,20.0,0,9,1.2725879999284808,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,2,1580.7410000238451,1,20.0,0,9,1.580741000023845,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,1,1409.1850000238485,1,20.0,0,9,1.4091850000238484,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,24,2549.78299997616,1,20.0,0,9,2.54978299997616,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,1,1794.7229999284757,1,20.0,0,9,1.7947229999284757,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,12,3293.8369999999995,1,20.0,0,9,3.2938369999999995,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
80.0,2,962.10499997616,1,20.0,0,9,0.96210499997616,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,52,1290.4760000238457,0,20.0,0,9,1.2904760000238458,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,1,1084.892000000007,1,20.0,0,9,1.084892000000007,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,12,1818.761999976152,1,20.0,0,9,1.8187619999761522,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,1,2601.754000000001,1,20.0,0,9,2.601754000000001,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,2,1193.9339999284712,1,20.0,0,9,1.1939339999284713,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,52,992.027000000002,0,20.0,0,9,0.992027000000002,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,12,1433.0970000238449,0,20.0,0,9,1.433097000023845,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,12,993.6909999761556,0,20.0,0,9,0.9936909999761556,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,24,1476.705999952319,0,20.0,0,9,1.4767059999523189,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,4,1417.320000000007,1,20.0,0,9,1.417320000000007,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,24,1190.9449999284698,0,20.0,0,9,1.1909449999284698,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,12,2253.1249999284773,0,20.0,0,9,2.2531249999284775,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
80.0,12,1203.9079999523235,1,20.0,0,9,1.2039079999523234,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,2,1175.8439999761467,1,20.0,0,9,1.1758439999761467,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,24,1296.6879999761586,0,20.0,0,9,1.2966879999761587,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,4,1121.2819999523051,1,20.0,0,9,1.1212819999523052,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,4,1591.4069999761705,1,20.0,0,9,1.5914069999761704,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
80.0,1,1299.3470000000088,1,20.0,0,9,1.299347000000009,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,52,963.356999952317,0,20.0,0,9,0.9633569999523169,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,52,1954.4890000000012,0,20.0,0,9,1.9544890000000013,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
80.0,4,1972.9780000238388,1,20.0,0,9,1.9729780000238388,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
80.0,52,1264.5419999999867,0,20.0,0,9,1.2645419999999867,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,2,1824.923999952327,1,20.0,0,9,1.824923999952327,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
80.0,24,807.3429999761574,1,20.0,0,9,0.8073429999761574,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,1,1075.475999976159,1,20.0,0,9,1.0754759999761592,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,24,1097.5649999523305,0,20.0,0,9,1.0975649999523305,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,52,988.1109999523032,0,20.0,0,9,0.9881109999523032,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,4,2235.290000000008,1,20.0,0,9,2.235290000000008,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,52,1078.8040000000035,0,20.0,0,9,1.0788040000000034,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
65.0,12,1326.6169999761623,1,20.0,0,9,1.3266169999761623,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,12,3406.025999928476,1,20.0,0,9,3.4060259999284757,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,2,1320.645000023855,1,20.0,0,9,1.320645000023855,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,2,1804.2089999761663,1,20.0,0,9,1.8042089999761663,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
