Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds
65.0,4,1595.040000000008,1,20.0,0,4,1.595040000000008
50.0,1,1829.820000000007,1,20.0,0,4,1.8298200000000069
80.0,24,2996.8800000000047,1,20.0,0,4,2.996880000000005
25.0,24,1995.9800000000105,0,20.0,0,4,1.9959800000000105
65.0,12,1416.4200000000128,1,20.0,0,4,1.416420000000013
25.0,52,1343.1600000000035,0,20.0,0,4,1.3431600000000035
65.0,1,1687.8999999999942,1,20.0,0,4,1.6878999999999942
130.0,1,1160.0199999999895,1,20.0,0,4,1.1600199999999896
50.0,2,1102.3999999999942,1,20.0,0,4,1.1023999999999943
65.0,52,3354.119999999996,1,20.0,0,4,3.354119999999996
50.0,4,1283.5799999999872,1,20.0,0,4,1.2835799999999873
50.0,52,1211.9800000000105,1,20.0,0,4,1.2119800000000105
80.0,1,1227.7200000000012,1,20.0,0,4,1.2277200000000013
50.0,24,1314.140000000014,1,20.0,0,4,1.314140000000014
130.0,2,1152.859999999986,1,20.0,0,4,1.152859999999986
30.0,2,3213.619999999996,1,20.0,0,4,3.2136199999999957
30.0,1,1161.7200000000012,1,20.0,0,4,1.1617200000000012
80.0,52,1110.7999999999884,1,20.0,0,4,1.1107999999999885
25.0,1,3088.220000000001,1,20.0,0,4,3.088220000000001
65.0,2,903.6600000000036,1,20.0,0,4,0.9036600000000036
25.0,4,3370.3800000000047,0,20.0,0,4,3.370380000000005
80.0,4,930.8399999999964,1,20.0,0,4,0.9308399999999964
30.0,4,4262.959999999992,1,20.0,0,4,4.262959999999992
80.0,2,1557.7399999999907,1,20.0,0,4,1.5577399999999906
25.0,12,1356.7999999999884,0,20.0,0,4,1.3567999999999885
30.0,52,1491.2399999999907,0,20.0,0,4,1.4912399999999908
130.0,12,1225.2799999999988,1,20.0,0,4,1.2252799999999988
130.0,4,1311.7000000000116,1,20.0,0,4,1.3117000000000116
30.0,12,2846.820000000007,0,20.0,0,4,2.846820000000007
50.0,12,1652.2200000000012,1,20.0,0,4,1.6522200000000011
30.0,24,2710.320000000007,0,20.0,0,4,2.710320000000007
25.0,2,3174.420000000013,0,20.0,0,4,3.174420000000013
130.0,52,872.9200000000128,1,20.0,0,4,0.8729200000000128
65.0,24,1060.2799999999988,1,20.0,0,4,1.0602799999999988
80.0,12,1312.3399999999965,1,20.0,0,4,1.3123399999999965
130.0,24,910.459999999992,1,20.0,0,4,0.9104599999999919
25.0,52,1558.859999999986,0,20.0,0,4,1.558859999999986
130.0,4,779.9400000000023,1,20.0,0,4,0.7799400000000023
30.0,1,2277.0,1,20.0,0,4,2.277
80.0,52,1391.4400000000023,1,20.0,0,4,1.3914400000000022
25.0,24,1280.179999999993,0,20.0,0,4,1.280179999999993
30.0,2,2394.5800000000163,1,20.0,0,4,2.3945800000000164
130.0,1,799.3800000000047,1,20.0,0,4,0.7993800000000046
30.0,12,1725.0800000000163,0,20.0,0,4,1.7250800000000164
130.0,2,905.5,1,20.0,0,4,0.9055
130.0,52,747.2399999999907,1,20.0,0,4,0.7472399999999907
65.0,4,1411.960000000021,1,20.0,0,4,1.411960000000021
25.0,2,2727.719999999972,1,20.0,0,4,2.727719999999972
80.0,4,1518.179999999993,1,20.0,0,4,1.518179999999993
80.0,1,828.9000000000233,1,20.0,0,4,0.8289000000000233
65.0,52,2758.9400000000023,1,20.0,0,4,2.758940000000002
25.0,4,3165.4000000000237,0,20.0,0,4,3.1654000000000235
50.0,2,2474.5200000000186,1,20.0,0,4,2.4745200000000187
65.0,24,1873.9400000000023,1,20.0,0,4,1.8739400000000024
65.0,2,1631.719999999972,1,20.0,0,4,1.631719999999972
80.0,12,2396.140000000014,1,20.0,0,4,2.396140000000014
25.0,1,892.9000000000233,0,20.0,0,4,0.8929000000000232
65.0,1,1548.6199999999951,1,20.0,0,4,1.5486199999999952
80.0,2,927.359999999986,1,20.0,0,4,0.9273599999999861
65.0,12,2040.0999999999767,1,20.0,0,4,2.0400999999999767
30.0,52,1528.8800000000049,0,20.0,0,4,1.528880000000005
50.0,1,3175.2999999999884,1,20.0,0,4,3.1752999999999885
30.0,4,3149.0599999999977,0,20.0,0,4,3.1490599999999977
80.0,24,1896.859999999986,1,20.0,0,4,1.896859999999986
30.0,24,1363.5999999999767,0,20.0,0,4,1.3635999999999766
50.0,52,4934.039999999979,0,20.0,0,4,4.934039999999979
25.0,12,969.219999999972,0,20.0,0,4,0.969219999999972
50.0,12,1250.9400000000023,1,20.0,0,4,1.2509400000000024
50.0,24,1610.3400000000256,1,20.0,0,4,1.6103400000000256
130.0,12,976.7600000000092,1,20.0,0,4,0.9767600000000092
50.0,4,4688.179999999993,1,20.0,0,4,4.688179999999993
130.0,24,418.9799999999814,1,20.0,0,4,0.41897999999998137
