Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
80.0,4,2180.9320000000007,1,20.0,0,7,2.1809320000000008,23.0,PhD,,,,,8.0,
30.0,2,2008.7880003814644,1,20.0,0,7,2.008788000381464,23.0,PhD,,,,,8.0,
65.0,2,1486.9259996185283,1,20.0,0,7,1.4869259996185282,23.0,PhD,,,,,8.0,
25.0,1,1945.040000381472,1,20.0,0,7,1.945040000381472,23.0,PhD,,,,,8.0,
50.0,24,1398.014000381474,1,20.0,0,7,1.398014000381474,23.0,PhD,,,,,8.0,
130.0,1,1598.7909998092657,1,20.0,0,7,1.5987909998092658,23.0,PhD,,,,,8.0,
65.0,24,1408.5890001907392,1,20.0,0,7,1.408589000190739,23.0,PhD,,,,,8.0,
25.0,2,1386.325000190729,1,20.0,0,7,1.386325000190729,23.0,PhD,,,,,8.0,
30.0,52,2746.1610001907397,0,20.0,0,7,2.7461610001907397,23.0,PhD,,,,,8.0,
130.0,24,1856.996000381463,1,20.0,0,7,1.8569960003814632,23.0,PhD,,,,,8.0,
80.0,24,3871.357999809261,1,20.0,0,7,3.871357999809261,23.0,PhD,,,,,8.0,
65.0,4,3706.110000190733,1,20.0,0,7,3.706110000190733,23.0,PhD,,,,,8.0,
25.0,24,3734.464999999997,0,20.0,0,7,3.734464999999997,23.0,PhD,,,,,8.0,
65.0,1,1431.5249998092768,1,20.0,0,7,1.4315249998092767,23.0,PhD,,,,,8.0,
30.0,12,3481.581999618531,1,20.0,0,7,3.481581999618531,23.0,PhD,,,,,8.0,
50.0,52,1925.729999809264,1,20.0,0,7,1.925729999809264,23.0,PhD,,,,,8.0,
130.0,2,1754.5079996185375,1,20.0,0,7,1.7545079996185375,23.0,PhD,,,,,8.0,
80.0,52,2457.429000000004,1,20.0,0,7,2.4574290000000043,23.0,PhD,,,,,8.0,
30.0,24,2979.619999999996,1,20.0,0,7,2.9796199999999957,23.0,PhD,,,,,8.0,
80.0,12,2500.9789998092747,1,20.0,0,7,2.500978999809275,23.0,PhD,,,,,8.0,
25.0,52,2602.7780001907377,0,20.0,0,7,2.6027780001907375,23.0,PhD,,,,,8.0,
80.0,2,805.651999618538,1,20.0,0,7,0.805651999618538,23.0,PhD,,,,,8.0,
130.0,52,1170.840000190743,1,20.0,0,7,1.170840000190743,23.0,PhD,,,,,8.0,
25.0,4,2197.9780001907493,1,20.0,0,7,2.197978000190749,23.0,PhD,,,,,8.0,
50.0,12,1422.5739998092758,1,20.0,0,7,1.422573999809276,23.0,PhD,,,,,8.0,
80.0,1,1390.0309996185242,1,20.0,0,7,1.3900309996185243,23.0,PhD,,,,,8.0,
30.0,1,1571.493000381481,1,20.0,0,7,1.5714930003814809,23.0,PhD,,,,,8.0,
50.0,2,2254.597999999998,1,20.0,0,7,2.2545979999999983,23.0,PhD,,,,,8.0,
130.0,4,1495.182999618526,1,20.0,0,7,1.4951829996185262,23.0,PhD,,,,,8.0,
65.0,52,1784.6930003814632,1,20.0,0,7,1.7846930003814632,23.0,PhD,,,,,8.0,
50.0,1,1144.3300001907337,1,20.0,0,7,1.1443300001907337,23.0,PhD,,,,,8.0,
30.0,4,1201.9219996185277,1,20.0,0,7,1.2019219996185277,23.0,PhD,,,,,8.0,
65.0,12,3569.115000190737,1,20.0,0,7,3.5691150001907372,23.0,PhD,,,,,8.0,
130.0,12,1776.8369999999995,1,20.0,0,7,1.7768369999999996,23.0,PhD,,,,,8.0,
50.0,4,2300.521999999997,1,20.0,0,7,2.3005219999999973,23.0,PhD,,,,,8.0,
25.0,12,2226.0090001907374,1,20.0,0,7,2.2260090001907376,23.0,PhD,,,,,8.0,
25.0,4,1215.6930003814632,1,20.0,0,7,1.2156930003814632,23.0,PhD,,,,,8.0,
30.0,1,1086.685999618523,1,20.0,0,7,1.086685999618523,23.0,PhD,,,,,8.0,
65.0,4,736.1650001907256,1,20.0,0,7,0.7361650001907255,23.0,PhD,,,,,8.0,
65.0,24,2237.095000381465,1,20.0,0,7,2.237095000381465,23.0,PhD,,,,,8.0,
50.0,2,2452.758999809273,1,20.0,0,7,2.452758999809273,23.0,PhD,,,,,8.0,
65.0,1,1660.2539999999865,1,20.0,0,7,1.6602539999999866,23.0,PhD,,,,,8.0,
25.0,52,2082.4779998092563,0,20.0,0,7,2.082477999809256,23.0,PhD,,,,,8.0,
50.0,12,2016.8949999999893,1,20.0,0,7,2.0168949999999892,23.0,PhD,,,,,8.0,
