RefID,Fitting_Param_m,Fitting_Param_k,Fitting_Param_Beta,Fitting_Param_Delta
8,0.7620462206309933,0.05366571273119684,0.16454358567202876,0.004982954214713575
9,0.9999999999999994,0.05065275258653272,0.04205110403199307,0.042051134239758
10,0.9999999999999999,0.09956312016806973,0.040282888805608215,0.11958911528705196
2,0.83453412580015,0.0071571360820514435,0.007910348578946548,0.007910398202362404
3,0.9999999999999999,0.9999999999999586,0.9999999999999999,0.7567586981399858
1,0.4109163318510384,0.017897809904748915,0.014134488021587817,0.014134495870322191
4,0.6711202860623768,0.062111385637063955,0.2932403196186793,0.003115722827124113
5,2.3896860155744835e-21,3.7743942481553926e-15,-0.019971710659292752,-0.01997528370514543
7,0.12224542879504292,1.8748668828991005e-10,-0.0010702360221070285,-0.0010648684745372104
6,0.5271456617495659,0.010406993865169268,0.010392898534633467,0.010392255098203327
